dataset,target_size,algorithm,time,metric1,metric2,selected_features
ghisaconus,5,bsdr,1.43,0.6622478386167148,0.5280009478432582,19-49-71-91-108||19-42-62-90-109||19-42-62-90-108||19-42-62-90-108||19-42-62-90-108||19-42-62-90-108||19-42-62-90-108||19-42-62-90-109||19-42-62-90-109||19-42-62-90-109
ghisaconus,10,bsdr,1.33,0.6804034582132564,0.5530606921569676,18-23-38-47-58-77-89-91-106-117||18-23-38-47-58-77-89-91-108-117||18-23-37-47-58-77-89-91-107-117||18-23-37-47-58-77-90-91-108-117||18-23-37-47-58-77-89-91-106-117||18-23-37-47-58-77-89-91-107-117||18-23-37-47-58-77-89-91-107-117||17-23-37-47-58-77-89-91-106-117||18-23-38-47-58-77-89-91-106-117||17-23-34-47-58-77-89-91-106-117
ghisaconus,15,bsdr,1.37,0.7118155619596542,0.5975112287966964,12-18-25-28-44-47-62-71-89-90-91-106-110-117||12-18-25-28-44-47-62-63-70-86-90-91-107-115-118||12-17-25-28-32-47-62-71-86-90-91-107-115-118||12-18-25-28-44-47-63-71-89-90-91-107-110-117||12-18-25-28-44-47-62-63-71-89-90-91-106-110-118||12-17-25-28-32-47-62-63-71-89-90-91-106-110-117||12-17-25-28-33-46-62-63-71-86-90-91-107-117||12-17-25-28-41-47-62-63-71-88-91-106-110-117||12-17-25-28-44-47-62-71-89-90-91-106-110-117||12-18-25-28-43-47-62-70-87-91-106-110-118
ghisaconus,20,bsdr,1.5,0.7345821325648414,0.6292200492073642,8-12-19-25-28-39-44-47-61-62-72-83-89-90-91-106-110-118-126||11-18-25-28-39-44-47-61-62-71-72-83-89-90-91-106-108-118-126||6-11-18-25-28-39-44-47-61-62-72-84-89-90-91-105-108-118-125||10-12-18-25-28-39-44-46-57-62-70-71-84-89-91-106-108-118-126||11-13-18-25-28-39-44-46-59-62-71-84-89-91-106-108-118-127||6-11-19-25-28-39-44-46-57-62-70-71-84-89-91-106-108-118-126||6-11-18-25-28-39-44-46-59-62-71-84-89-90-91-106-108-118-126||10-13-18-25-28-39-44-46-59-62-70-71-81-90-91-106-108-118-126||10-13-18-25-28-39-44-46-59-62-70-72-81-90-91-106-108-118-126||6-11-18-25-28-39-44-47-61-62-71-72-82-88-91-105-108-118-126
ghisaconus,25,bsdr,1.7,0.7426512968299712,0.6410260832459099,4-11-18-19-28-31-39-44-47-61-62-72-74-87-89-91-98-105-107-111-117-125||4-11-19-21-28-31-39-44-46-61-62-72-77-86-89-90-91-101-106-110-113-117-126||4-10-19-21-28-31-39-44-46-61-62-63-72-77-86-89-90-91-101-105-108-112-117-125||4-11-19-28-31-39-44-46-61-62-72-77-86-89-91-98-106-109-112-118-126||4-10-19-28-31-39-44-46-61-62-72-77-84-89-91-98-106-109-114-118-125||4-10-18-19-28-30-39-44-46-61-62-63-71-78-86-89-91-101-105-107-110-118-125||4-10-19-22-28-30-39-45-47-59-62-71-77-86-89-91-98-107-110-115-118-125||5-10-19-20-28-31-39-44-46-59-62-71-77-84-89-91-98-105-108-111-117-125||4-10-19-28-31-39-44-46-61-62-71-77-86-89-90-91-99-104-107-110-117-125||4-10-19-20-28-31-39-44-46-61-62-71-77-84-88-91-98-105-108-113-118-126
ghisaconus,30,bsdr,1.6,0.7426512968299711,0.6409215639633314,4-11-16-18-19-25-28-34-39-45-47-57-61-62-72-77-83-84-90-91-99-105-110-117-120-122-125||4-11-16-18-25-28-39-40-45-47-61-62-71-72-76-82-85-90-91-99-105-108-117-120-123-126||4-11-16-18-19-25-28-39-41-45-47-61-62-72-77-82-85-90-91-99-105-108-117-120-123-125||5-11-15-18-19-25-28-39-40-45-47-59-62-72-77-82-88-89-90-91-99-105-109-117-120-123-126||4-11-14-18-25-28-39-41-45-47-59-62-63-66-72-77-82-84-89-90-91-98-105-108-117-120-123-126||5-11-16-18-25-28-39-45-46-47-59-62-63-71-77-83-88-90-91-101-105-108-117-120-123-126||5-11-16-18-19-25-28-39-40-45-47-59-62-71-77-83-88-89-90-91-99-105-108-117-120-123-125||5-11-15-18-19-25-28-39-45-47-61-62-72-76-82-84-89-90-91-99-105-109-117-120-123-125||4-11-16-18-19-25-28-39-40-45-46-47-59-62-71-72-77-82-87-90-91-98-104-108-117-120-123-125||5-11-16-18-19-25-28-39-40-45-46-47-59-62-71-72-77-82-83-90-91-99-105-108-117-120-123-126
indian_pines,5,bsdr,1.65,0.715146046539961,0.6742762736891303,30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-137-163||30-63-98-139-163||30-63-98-140-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163||30-63-98-139-163
indian_pines,10,bsdr,1.81,0.7414683083576998,0.7048755319320958,19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-92-108-128-149-160-182||19-37-55-74-91-108-128-149-160-182||19-37-55-74-91-108-128-149-160-181||19-37-55-74-91-108-129-149-160-182||19-37-55-74-91-108-128-149-160-181
indian_pines,15,bsdr,2.37,0.7471232334307992,0.711895531693436,11-27-36-51-61-78-86-101-111-126-140-149-160-172-184||11-27-36-51-61-78-86-101-111-127-140-149-160-173-184||11-27-36-51-61-78-86-101-111-127-140-148-160-173-184||10-27-36-51-61-78-86-101-111-127-140-149-160-173-184||11-27-36-51-61-78-86-101-110-127-140-149-160-173-184||11-27-36-50-61-74-86-101-111-126-140-148-160-173-184||11-27-36-51-61-78-86-101-111-127-140-149-160-172-184||11-27-36-50-61-78-86-101-111-127-140-149-160-172-184||11-27-36-51-61-78-86-101-111-127-140-149-160-173-184||11-27-36-51-61-78-86-101-111-127-140-148-160-172-184
indian_pines,20,bsdr,2.4,0.7471338937621832,0.712011168659651,8-22-28-36-46-55-63-77-85-92-106-110-127-131-140-149-160-167-179-186||8-21-28-35-47-55-63-77-86-92-106-109-128-131-140-149-160-168-178-186||8-21-27-36-46-55-63-77-85-99-106-110-127-135-140-148-160-166-178-186||8-21-28-36-47-55-63-77-85-99-106-109-127-131-140-149-160-168-178-186||9-23-28-36-46-55-63-78-86-92-106-110-127-128-140-149-160-168-178-184||8-21-28-35-46-55-62-77-86-97-106-110-128-134-140-149-160-168-178-186||9-21-28-36-46-55-63-77-85-92-106-110-127-128-140-149-160-167-178-186||9-21-27-36-46-55-63-77-85-92-106-110-127-134-140-149-160-167-178-186||9-21-27-35-49-55-63-77-85-99-106-110-127-134-140-149-160-168-178-186||8-21-28-35-46-55-63-78-85-92-106-109-127-136-140-149-160-168-178-186
indian_pines,25,bsdr,2.4,0.7705234222709552,0.7385168462362846,8-16-24-30-36-48-53-61-63-78-85-91-100-107-111-120-131-140-149-153-160-163-172-182-190||8-16-24-30-36-47-53-59-63-78-85-91-99-107-109-120-131-140-149-153-160-163-176-182-190||8-16-24-30-36-48-53-60-63-78-85-91-99-107-110-120-131-140-149-153-160-163-172-182-191||8-16-24-30-36-48-53-61-63-78-85-91-98-107-110-120-131-140-149-153-160-163-176-182-190||8-16-24-30-36-47-53-60-63-78-85-91-99-107-111-120-131-140-149-153-160-162-177-182-191||8-16-24-30-36-48-53-60-63-78-85-91-99-107-111-120-131-140-149-153-160-163-172-182-192||8-16-24-30-36-48-53-60-63-78-85-91-99-107-115-120-132-140-149-153-160-162-172-182-190||8-16-24-30-36-48-53-60-63-78-85-91-99-107-110-120-132-140-149-153-160-163-176-182-190||8-16-24-30-36-47-53-60-63-78-85-91-99-107-115-120-131-140-149-153-160-163-177-182-190||8-16-24-30-36-47-53-60-63-78-85-91-99-108-110-120-131-140-149-153-160-162-176-182-190
indian_pines,30,bsdr,2.28,0.7601893731725147,0.7262208454820847,6-10-24-27-30-38-46-50-62-65-71-78-85-89-99-100-107-111-126-132-138-140-149-153-161-163-172-178-182-192||6-10-24-27-30-38-46-50-61-65-71-78-85-89-99-100-107-109-128-131-138-140-149-153-162-163-176-178-184-192||6-10-24-27-30-38-46-50-61-65-71-78-85-89-99-100-107-110-129-131-137-140-148-153-161-163-175-178-184-192||8-10-24-27-31-38-46-50-60-65-72-78-80-89-98-107-119-127-129-138-140-149-153-161-163-177-178-184-192||6-10-24-27-31-40-46-50-60-65-71-78-80-89-98-100-107-111-126-127-138-140-149-153-162-163-176-178-184-192||6-10-24-27-31-38-46-50-60-65-71-78-80-89-98-100-107-119-126-128-138-140-149-153-161-163-177-178-184-192||6-10-24-27-29-40-46-50-60-66-72-78-80-89-98-100-107-109-129-130-138-140-149-153-154-162-177-178-184-192||6-10-24-27-31-38-46-50-59-66-74-78-80-89-98-100-107-115-129-133-138-140-149-153-160-163-177-178-184-192||6-10-24-27-29-40-46-50-59-65-71-78-80-89-98-99-107-111-129-133-138-140-149-153-160-162-175-178-184-192||6-10-24-27-31-38-46-50-60-66-72-78-80-89-98-101-108-109-126-127-138-140-149-153-161-163-172-178-182-192
lucas,5,bsdr,5.06,0.7582085501579471,37.2616883481189,447-1363-2023-2646-3458||447-1397-2023-2646-3461||455-1152-2023-2685-3459||444-1335-2023-2679-3459||446-1367-2023-2646-3459||448-1285-2024-2679-3458||464-1147-2024-2757-3459||450-1391-2023-2646-3461||450-1399-2023-2646-3460||451-1304-2024-2760-3461
lucas,10,bsdr,6.12,0.7703254045290373,36.336097885777,412-824-1068-1566-2020-2136-2291-2984-3435-3806||413-820-1090-1566-2020-2137-2289-2984-3435-3805||408-815-1091-1557-2019-2132-2284-2986-3435-3809||408-819-1091-1559-2019-2187-2276-2985-3435-3808||407-814-1075-1560-2020-2139-2276-2984-3435-3809||408-817-1065-1566-2020-2158-2279-2984-3435-3804||418-811-1080-1560-2020-2166-2276-2985-3435-3805||413-819-1092-1560-2020-2155-2284-2986-3437-3805||413-809-1077-1554-2020-2134-2291-2985-3435-3805||413-809-1091-1547-2020-2138-2284-2984-3438-3805
